CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,TechSupport,PaperlessBilling,Churn
CUST-00000,56,1,100.57468921781201,108.05056322254588,One year,Bank transfer,No,Yes,1
CUST-00001,69,10,80.25113635747286,849.2760991718205,Month-to-month,Electronic check,No,No,1
CUST-00002,46,36,49.58227185818632,1854.2436377756683,Month-to-month,Bank transfer,Yes,Yes,0
CUST-00003,32,46,108.8209193214149,5021.290047722316,Month-to-month,Bank transfer,Yes,No,0
CUST-00004,60,32,104.06036227731919,3594.592415477379,One year,Electronic check,No,Yes,0
CUST-00005,25,32,67.2879322210545,2278.832977453693,One year,Credit card,No,No,0
CUST-00006,38,6,23.90786860019552,152.51338642026488,Two year,Bank transfer,Yes,No,0
CUST-00007,56,48,83.85437274019134,3871.697645526344,One year,Electronic check,No,Yes,0
CUST-00008,36,38,25.059685367658172,937.6903959171582,Two year,Electronic check,Yes,No,0
CUST-00009,40,17,112.62799618484073,1993.867798832241,One year,Electronic check,No,Yes,0
CUST-00010,28,27,116.1631256625307,3055.5242411627078,Two year,Mailed check,No,Yes,0
CUST-00011,28,54,38.94901458996043,2100.7122296290486,One year,Electronic check,No,Yes,0
CUST-00012,41,50,87.638937805491,4510.3492989186225,One year,Bank transfer,No,Yes,0
CUST-00013,53,35,29.226900456276276,1010.2076129617195,One year,Bank transfer,No,Yes,0
CUST-00014,57,25,92.95169285731221,2459.9849592329674,One year,Electronic check,Yes,No,0
CUST-00015,41,28,54.72876661526746,1414.8021843441277,Month-to-month,Mailed check,No,Yes,1
CUST-00016,20,15,88.10501117304453,1379.2107812877673,Month-to-month,Mailed check,Yes,No,0
CUST-00017,39,4,57.287650920217786,212.89053792270607,Month-to-month,Mailed check,No,Yes,1
CUST-00018,19,27,34.556750983323575,1014.7359825500794,Month-to-month,Bank transfer,No,Yes,1
CUST-00019,41,26,60.61099805025579,1517.2748680879922,One year,Mailed check,No,No,0
CUST-00020,61,19,31.267352663479002,629.1817743252376,Month-to-month,Credit card,No,Yes,1
CUST-00021,47,17,77.68832749769459,1326.3586547724885,Month-to-month,Credit card,No,Yes,1
CUST-00022,55,43,24.095153214947977,951.3573381163677,Month-to-month,Mailed check,No,No,1
CUST-00023,19,41,72.73196795998598,3031.265662828839,One year,Credit card,Yes,No,0
CUST-00024,38,42,108.63686470955409,4938.880972920489,Month-to-month,Electronic check,Yes,Yes,0
CUST-00025,50,50,103.78732701193627,4833.61910104637,Month-to-month,Mailed check,No,Yes,1
CUST-00026,29,40,108.27816996264968,4176.338346439969,Month-to-month,Mailed check,No,Yes,1
CUST-00027,39,39,112.20488021271073,4322.742114805802,Month-to-month,Mailed check,No,Yes,1
CUST-00028,61,23,30.452788787569425,668.9029389818068,Two year,Electronic check,No,Yes,0
CUST-00029,42,52,32.87472028757131,1861.2123664074693,Month-to-month,Electronic check,No,Yes,1
CUST-00030,66,47,75.70068063131286,3470.7628443588505,One year,Mailed check,No,Yes,0
CUST-00031,44,63,109.39726684244292,7109.901431665682,One year,Bank transfer,No,Yes,0
CUST-00032,59,69,117.43494565240307,7655.590137165788,Two year,Bank transfer,No,Yes,0
CUST-00033,45,43,24.626191733999995,999.5640967628829,Month-to-month,Credit card,No,No,1
CUST-00034,33,48,55.577408420066014,2494.767247061323,Month-to-month,Electronic check,No,No,1
CUST-00035,32,34,41.289425465999344,1385.5378293763858,Month-to-month,Credit card,No,Yes,1
CUST-00036,64,40,95.59658489312481,3848.992451122246,Month-to-month,Credit card,Yes,No,1
CUST-00037,68,61,84.0193868537032,4623.681600682554,One year,Mailed check,No,No,0
CUST-00038,61,50,31.98880314838454,1705.9383773132406,Month-to-month,Bank transfer,Yes,Yes,0
CUST-00039,69,67,68.35220673649715,4591.279391111651,Month-to-month,Credit card,Yes,No,0
CUST-00040,20,62,88.54405223712914,5113.366160354433,Two year,Mailed check,No,No,0
CUST-00041,54,58,97.90053939240377,5186.82955474539,One year,Electronic check,No,No,0
CUST-00042,68,33,22.00527097840085,662.7352846077425,Month-to-month,Credit card,Yes,No,0
CUST-00043,24,16,109.04695739838898,1660.1809492101916,Month-to-month,Bank transfer,Yes,No,1
CUST-00044,38,48,76.92813829505243,3692.02788227022,Month-to-month,Electronic check,No,Yes,1
CUST-00045,26,10,101.19091149599046,1084.815048969977,Two year,Mailed check,No,Yes,1
CUST-00046,56,38,100.79380300142834,4138.849289747932,Two year,Electronic check,Yes,No,0
CUST-00047,35,19,38.98526602709691,789.952445515631,Two year,Credit card,No,No,0
CUST-00048,21,36,31.01721202536331,1078.3337534540935,Two year,Electronic check,Yes,No,0
CUST-00049,42,59,92.12872689738266,5225.300147796461,One year,Electronic check,No,Yes,0
CUST-00050,31,63,35.642691882161905,2464.4061163582264,Month-to-month,Electronic check,No,No,1
CUST-00051,67,46,104.99374914047237,5004.819123959886,Month-to-month,Bank transfer,No,Yes,1
CUST-00052,26,3,92.61894838621052,267.01775750733265,One year,Credit card,No,No,1
CUST-00053,43,65,104.18253643652626,6540.3756460183,Two year,Mailed check,Yes,No,0
CUST-00054,19,8,49.901267960934604,393.99202313276635,Month-to-month,Bank transfer,No,Yes,1
CUST-00055,37,51,51.6598060410569,2698.833714012056,One year,Credit card,Yes,Yes,0
CUST-00056,45,6,87.12215563463177,564.3402965850618,Two year,Mailed check,No,Yes,1
CUST-00057,64,39,23.144595505894753,848.1752592131429,Month-to-month,Mailed check,No,No,1
CUST-00058,24,60,92.64967463374226,5096.921798223456,Two year,Mailed check,Yes,No,0
CUST-00059,61,28,103.57830708546012,2845.525199888447,Month-to-month,Credit card,No,Yes,1
CUST-00060,25,54,61.516358660410404,3152.769927933058,Month-to-month,Mailed check,Yes,No,0
CUST-00061,64,37,96.48788300884686,3624.339785904686,Month-to-month,Mailed check,No,Yes,1
CUST-00062,52,9,37.4610916982262,350.582874791684,One year,Bank transfer,No,Yes,1
CUST-00063,31,56,52.22603938194847,2813.9516762000217,One year,Mailed check,No,No,0
CUST-00064,34,59,117.43049631104775,7185.375397684342,Month-to-month,Electronic check,No,No,1
CUST-00065,53,2,118.63281735601262,229.82248148552804,Two year,Bank transfer,Yes,No,1
CUST-00066,67,61,71.2605053021588,4464.229176985871,One year,Bank transfer,No,No,0
CUST-00067,57,58,113.4269791463877,6753.839940575297,One year,Credit card,No,No,0
CUST-00068,21,60,72.27306780568546,4143.9871227814365,Month-to-month,Mailed check,Yes,No,0
CUST-00069,19,40,49.15881281611573,2019.7282674143094,Two year,Electronic check,Yes,No,0
CUST-00070,23,36,46.68992880987719,1640.8184107935224,Month-to-month,Electronic check,No,Yes,1
CUST-00071,59,37,112.95057053681488,4042.47455552441,Month-to-month,Mailed check,No,Yes,1
CUST-00072,21,18,37.24463889738591,642.1510537745992,Month-to-month,Mailed check,No,No,1
CUST-00073,46,63,77.96324582018181,4760.0561304229295,Month-to-month,Credit card,No,Yes,1
